model,metric,mean,std
arimax,MAE,26.619244246803465,3.6748457690732197
arimax,MSE,1625.3795595531656,521.5902066777101
arimax,RMSE,39.82273151943077,6.566826870470053
arimax,R2,0.7646294189373388,0.044035212029890206
lstm,MAE,17.410916456358667,1.9314043974890278
lstm,MSE,1006.5113297241751,252.41972102918223
lstm,RMSE,31.496869257125297,3.9715199824931013
lstm,R2,0.9067925329307484,0.015263507439551455
hybrid,MAE,11.204279617607762,1.3018105191240028
hybrid,MSE,353.02226576418843,123.69774369192426
hybrid,RMSE,18.558350071317392,3.064739359160541
hybrid,R2,0.9485238029414372,0.014149373843082826
